Disease,Description,Symptoms,Treatments
acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","blackheads, whiteheads, pimples, cysts, nodules","topical creams and gels containing benzoyl peroxide or retinoids, oral medications such as antibiotics or isotretinoin, chemical peels, laser and light therapies"
adenoiditis,"Adenoiditis is an inflammation of the adenoids, which are small pads of tissue located in the back of the throat.","difficulty breathing through the nose, snoring, mouth breathing","antibiotics, nasal decongestants, surgery to remove the adenoids"
aids,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","fever, fatigue, swollen lymph nodes, rapid weight loss, frequent infections, skin rashes, night sweats, chronic diarrhea, persistent cough, memory loss, depression, neurological disorders","antiretroviral therapy, prophylaxis for opportunistic infections, supportive care"
alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol"," vomiting,  yellowish skin,  abdominal pain,  swelling of stomach,  distention of abdomen,  history of alcohol consumption,  fluid overload","stop alcohol consumption, consult doctor, medication, follow up"
allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens."," continuous sneezing,  shivering,  chills,  watering from eyes","apply calamine, cover area with bandage, use ice to compress itching"
alzheimer's disease,"Alzheimer's disease is a progressive brain disorder that affects memory, thinking, and behavior. It is the most common cause of dementia in older adults.","memory loss, difficulty completing familiar tasks, language problems, disorientation, mood swings, personality changes, loss of motivation","medications, non-drug treatments (e.g., cognitive stimulation therapy), supportive therapies, clinical trials"
amyotrophic lateral sclerosis (als),"A progressive neurodegenerative disease that affects nerve cells in the brain and spinal cord, leading to muscle weakness and eventual paralysis.","muscle weakness and stiffness, difficulty speaking and swallowing, muscle twitching and cramping, gradual loss of mobility, difficulty breathing","medications to manage symptoms, physical therapy and occupational therapy, assistive devices to help with mobility and communication"
anal fissure,"An anal fissure is a tear in the lining of the anus, which can cause pain and bleeding during bowel movements.","pain during bowel movements, bleeding from the anus, itching or burning around the anus","stool softeners, topical analgesics, surgery in severe cases"
anemia,"A condition in which the body lacks enough red blood cells or hemoglobin, leading to reduced oxygen supply to tissues and organs.","fatigue and weakness, shortness of breath, dizziness, headache, pale skin, irregular heartbeat","supplements to increase iron or vitamin levels, blood transfusions, medications to stimulate red blood cell production"
angina pectoris,Angina pectoris is a condition that causes chest pain or discomfort. It occurs when the heart muscle doesn't get enough blood and oxygen due to narrowed or blocked coronary arteries.,"chest pain or discomfort, pain or discomfort in the arms, neck, jaw, shoulder or back, shortness of breath","lifestyle changes such as quitting smoking, eating a healthy diet and exercising regularly, medications to relieve pain and improve blood flow to the heart, medical procedures such as angioplasty or bypass surgery"
anthrax,"Anthrax is a serious bacterial infection caused by the spore-forming bacterium Bacillus anthracis, which can affect both humans and animals.","flu-like symptoms, skin lesions, swelling, fever, chest discomfort, shortness of breath, nausea and vomiting, abdominal pain, headache, confusion","antibiotics, antitoxins, wound care"
anxiety disorders,"A group of mental health disorders characterized by excessive worry, fear, or nervousness that interferes with daily activities.","excessive worrying, feeling restless or on edge, irritability, difficulty concentrating, muscle tension, sleep problems, panic attacks","therapy to learn coping strategies, medications to manage symptoms, lifestyle changes to promote relaxation and stress management"
aortic stenosis,"Aortic stenosis is a condition that occurs when the aortic valve narrows, restricting blood flow from the heart to the rest of the body.","shortness of breath, chest pain or discomfort, fainting or lightheadedness","medications to manage symptoms, balloon valvuloplasty to open the narrowed valve, surgical valve replacement"
aortic valve regurgitation,"Aortic valve regurgitation is a condition that occurs when the aortic valve doesn't close properly, causing blood to leak back into the heart.","shortness of breath, fatigue, swollen ankles or feet","medications to manage symptoms, surgical valve repair or replacement"
appendicitis,"Appendicitis is a condition where the appendix becomes inflamed and swollen, usually as a result of an infection.","pain in the lower right side of the abdomen, nausea and vomiting, loss of appetite, fever, constipation or diarrhea","surgery to remove the appendix, antibiotics to treat the infection, pain medication"
arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","joint pain and stiffness, swelling and redness around the joint, limited range of motion, fatigue, fever","pain medication, anti-inflammatory drugs, physical therapy, joint replacement surgery"
asthma,"Asthma is a chronic condition where the airways in the lungs become inflamed and narrow, making it difficult to breathe.","wheezing, coughing, shortness of breath, chest tightness, difficulty breathing","bronchodilators to open up the airways, corticosteroids to reduce inflammation, leukotriene modifiers, immunomodulators"
atherosclerosis,"Atherosclerosis is a condition where plaque builds up inside the arteries, making them narrower and restricting blood flow.","chest pain, shortness of breath, weakness or numbness in limbs, headache, blurry vision","lifestyle changes such as quitting smoking and eating a healthy diet, medications to lower cholesterol and blood pressure, angioplasty or stenting to open up blocked arteries, surgery to bypass blocked arteries"
