,name,description,symptoms,treatments
0,acne,Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.,"['Blackheads', 'Whiteheads', 'Pimples', 'Cysts', 'Nodules']","['Topical creams and gels containing benzoyl peroxide or retinoids', 'Oral medications such as antibiotics or isotretinoin', 'Chemical peels', 'Laser and light therapies']"
1,appendicitis,"Appendicitis is a condition where the appendix becomes inflamed and swollen, usually as a result of an infection.","['Pain in the lower right side of the abdomen', 'Nausea and vomiting', 'Loss of appetite', 'Fever', 'Constipation or diarrhea']","['Surgery to remove the appendix', 'Antibiotics to treat the infection', 'Pain medication']"
2,arthritis,"Arthritis is a condition where one or more joints become inflamed, causing pain, stiffness, and limited range of motion.","['Joint pain and stiffness', 'Swelling and redness around the joint', 'Limited range of motion', 'Fatigue', 'Fever']","['Pain medication', 'Anti-inflammatory drugs', 'Physical therapy', 'Joint replacement surgery']"
3,asthma,"Asthma is a chronic condition where the airways in the lungs become inflamed and narrow, making it difficult to breathe.","['Wheezing', 'Coughing', 'Shortness of breath', 'Chest tightness', 'Difficulty breathing']","['Bronchodilators to open up the airways', 'Corticosteroids to reduce inflammation', 'Leukotriene modifiers', 'Immunomodulators']"
4,atherosclerosis,"Atherosclerosis is a condition where plaque builds up inside the arteries, making them narrower and restricting blood flow.","['Chest pain', 'Shortness of breath', 'Weakness or numbness in limbs', 'Headache', 'Blurry vision']","['Lifestyle changes such as quitting smoking and eating a healthy diet', 'Medications to lower cholesterol and blood pressure', 'Angioplasty or stenting to open up blocked arteries', 'Surgery to bypass blocked arteries']"
5,bronchitis,"Bronchitis is an inflammation of the lining of the bronchial tubes, which carry air to and from the lungs.","['Persistent cough', 'Mucus production', 'Wheezing', 'Shortness of breath', 'Chest discomfort']","['Rest and hydration', 'Over-the-counter cough medicine', 'Inhaled bronchodilators', 'Corticosteroids', 'Antibiotics (if bacterial)']"
6,cataracts,"Cataracts are a clouding of the eye's natural lens, which can cause blurry vision and eventually blindness if left untreated.","['Blurred or dimmed vision', 'Difficulty seeing at night', 'Sensitivity to light', 'Frequent changes in eyeglass or contact lens prescription']","['Prescription eyeglasses or contact lenses', 'Surgery to remove and replace the clouded lens']"
7,celiac disease,"Celiac disease is an autoimmune disorder in which the body's immune system attacks the small intestine when gluten is ingested, leading to damage and malabsorption of nutrients.","['Abdominal pain and bloating', 'Diarrhea or constipation', 'Fatigue', 'Weight loss', 'Iron-deficiency anemia']","['A gluten-free diet', 'Supplements to correct nutrient deficiencies']"
8,cirrhosis,"Cirrhosis is a late stage of liver disease in which healthy liver tissue is replaced with scar tissue, impairing liver function and leading to a range of symptoms.","['Fatigue and weakness', 'Loss of appetite and weight loss', 'Nausea and vomiting', 'Abdominal swelling and pain', 'Jaundice (yellowing of the skin and eyes)']","['Treatment of underlying causes (e.g., alcohol cessation, hepatitis treatment)', 'Medications to manage symptoms', 'Liver transplant in severe cases']"
9,colitis,"Colitis is an inflammation of the colon, which can cause a range of symptoms depending on the underlying cause.","['Abdominal pain and cramping', 'Diarrhea or constipation', 'Rectal bleeding', 'Urgent bowel movements', 'Fever and fatigue']","['Anti-inflammatory medications', 'Immunosuppressants', 'Surgery to remove the colon in severe cases']"
10,conjunctivitis,"Conjunctivitis, also known as pink eye, is an inflammation of the conjunctiva, which is the thin, clear tissue that lines the inside of the eyelid and covers the white part of the eye.","['Redness in the white of the eye or inner eyelid', 'Increased amount of tears', 'Thick yellow discharge that crusts over the eyelashes, especially after sleep', 'Itchy or burning eyes', 'Blurred vision', 'Sensitivity to light']","['Artificial tears', 'Antihistamine eye drops', 'Topical corticosteroids', 'Cold compresses', 'Warm compresses']"
11,crohn's disease,"Crohn's disease is a type of inflammatory bowel disease that can affect any part of the gastrointestinal tract from mouth to anus. Symptoms include abdominal pain, diarrhea, and weight loss.","['Abdominal pain and cramping', 'Diarrhea', 'Blood in your stool', 'Reduced appetite and weight loss', 'Fatigue', 'Fever']","['Anti-inflammatory drugs', 'Immune system suppressors', 'Antibiotics', 'Nutrition therapy', 'Surgery']"
12,cystic fibrosis,"Cystic fibrosis is an inherited disorder that causes severe damage to the lungs, digestive system and other organs in the body. It affects the cells that produce mucus, sweat and digestive juices.","['Persistent cough with thick mucus', 'Wheezing or shortness of breath', 'Poor growth or weight gain', 'Frequent respiratory infections', 'Salty-tasting skin', 'Difficulty with bowel movements']","['Airway clearance techniques', 'Inhaled medications', 'Oral pancreatic enzyme supplements', 'Antibiotics', 'Nutrition therapy']"
13,dementia,Dementia is a general term for a decline in mental ability severe enough to interfere with daily life. Memory loss is an example. Alzheimer's is the most common type of dementia.,"['Memory loss', 'Difficulty communicating', 'Inability to focus or pay attention', 'Poor reasoning or judgment', 'Confusion and disorientation', 'Mood changes']","['Medications to treat cognitive symptoms', 'Antidepressants', 'Antipsychotics', 'Occupational therapy', 'Speech therapy']"
14,diabetes mellitus,Diabetes mellitus is a chronic metabolic disorder characterized by high blood sugar levels due to the body's inability to produce or use insulin effectively.,"['Increased thirst', 'Frequent urination', 'Extreme hunger', 'Unexplained weight loss', 'Fatigue', 'Blurred vision', 'Slow-healing sores or frequent infections', 'Tingling or numbness in the hands or feet', 'Dry, itchy skin']","['Lifestyle changes (e.g. diet, exercise)', 'Oral medications (e.g. metformin, sulfonylureas)', 'Insulin therapy', 'Blood sugar monitoring', 'Regular check-ups with a healthcare provider']"
15,emphysema,"Emphysema is a lung disease that damages the air sacs in the lungs. This damage makes it harder to breathe and can lead to shortness of breath, coughing, and wheezing.","['Shortness of breath, especially during physical activities', 'Wheezing', 'Chest tightness', 'Chronic cough', 'Lack of energy']","['Quitting smoking', 'Medications such as bronchodilators, inhaled steroids, or oxygen therapy', 'Pulmonary rehabilitation', 'Lung volume reduction surgery', 'Lung transplant']"
16,endometriosis,"Endometriosis is a condition where the tissue that normally lines the inside of the uterus grows outside of it, leading to pain and discomfort.","['Painful periods', 'Pain during intercourse', 'Painful bowel movements or urination during menstruation', 'Excessive bleeding', 'Infertility']","['Pain relievers such as nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Hormone therapy', 'Surgery to remove endometrial tissue', 'Assisted reproductive technologies (ART)']"
17,epilepsy,"Epilepsy is a neurological disorder that causes seizures, which can range from mild to severe and affect different parts of the brain.","['Seizures', 'Temporary confusion', 'Staring spells', 'Loss of consciousness', 'Psychic symptoms']","['Antiepileptic drugs (AEDs)', 'Surgery to remove the part of the brain causing seizures', 'Vagus nerve stimulation (VNS)', 'Ketogenic diet']"
18,fibromyalgia,"Fibromyalgia is a chronic condition that causes widespread pain and tenderness in the body, as well as fatigue, sleep disturbances, and cognitive difficulties.","['Widespread pain', 'Tender points', 'Fatigue', 'Sleep disturbances', 'Cognitive difficulties']","['Pain relievers such as acetaminophen, NSAIDs, or opioids', 'Antidepressants', 'Anticonvulsants', 'Physical therapy', 'Counseling']"
19,gallstones,"Gallstones are hardened deposits of digestive fluid that can form in the gallbladder, causing pain and other complications.","['Sudden and rapidly intensifying pain in the upper right portion of your abdomen', 'Pain in the back between the shoulder blades', 'Pain in the right shoulder', 'Nausea', 'Vomiting']","['Surgery to remove the gallbladder (cholecystectomy)', 'Medications to dissolve gallstones', 'Lithotripsy']"
20,gastritis,Inflammation of the stomach lining,"['Abdominal pain', 'Nausea', 'Vomiting']","['Antacids', 'Proton pump inhibitors', 'Dietary changes']"
21,glaucoma,Damage to the optic nerve that can lead to vision loss,"['Blurred vision', 'Eye pain', 'Headaches']","['Eye drops', 'Laser surgery', 'Trabeculectomy']"
22,gout,A type of arthritis caused by a buildup of uric acid crystals in the joints,"['Intense joint pain', 'Swelling', 'Redness']","['Nonsteroidal anti-inflammatory drugs (NSAIDs)', 'Colchicine', 'Urate-lowering therapy']"
23,hemorrhoids,Swollen veins in the anus and lower rectum,"['Bleeding', 'Pain or discomfort', 'Itching']","['Over-the-counter creams or ointments', 'Sitz baths', 'Surgery']"
24,hernia,A bulge or protrusion of an organ or tissue through an abnormal opening in the abdominal wall,"['A visible bulge', 'Pain or discomfort', 'Nausea or vomiting']","['Watchful waiting', 'Hernia truss', 'Surgery']"
25,hiatal hernia,"Hiatal hernia is a condition in which a portion of the stomach protrudes upward into the chest, through an opening in the diaphragm.","['Heartburn', 'Acid reflux', 'Difficulty swallowing', 'Chest or abdominal pain', 'Shortness of breath']","['Antacids', 'Medications to reduce acid production', 'Surgery (in severe cases)']"
26,inflammatory bowel disease,Inflammatory bowel disease (IBD) is a group of chronic conditions that cause inflammation in the digestive tract.,"['Abdominal pain', 'Diarrhea', 'Rectal bleeding', 'Fatigue', 'Weight loss']","['Medications to reduce inflammation', 'Immunosuppressants', 'Surgery (in severe cases)']"
27,interstitial cystitis,Interstitial cystitis (IC) is a chronic condition that causes bladder pain and discomfort.,"['Pelvic pain', 'Frequent urination', 'Urgency to urinate', 'Painful urination', 'Pain during sexual intercourse']","['Bladder distention (stretching)', 'Medications to relieve bladder pain', 'Physical therapy', 'Nerve stimulation']"
28,irritable bowel syndrome,Irritable bowel syndrome (IBS) is a common condition that affects the large intestine.,"['Abdominal pain', 'Bloating', 'Diarrhea', 'Constipation', 'Mucus in the stool']","['Dietary changes', 'Fiber supplements', 'Medications to control bowel movements']"
29,kidney stones,Kidney stones are hard deposits of minerals and salts that form inside the kidneys.,"['Severe pain in the side and back, below the ribs', 'Pain that radiates to the lower abdomen and groin', 'Painful urination', 'Pink, red or brown urine', 'Nausea and vomiting']","['Drinking water to help pass the stone', 'Medications to relieve pain', 'Surgery (in severe cases)']"
30,leukemia,"Leukemia is a type of cancer that affects the blood and bone marrow, the spongy tissue inside bones where blood cells are made.","['Fatigue', 'Fever', 'Night sweats', 'Easy bruising or bleeding', 'Bone pain', 'Enlarged lymph nodes', 'Shortness of breath', 'Pale skin', 'Frequent infections', 'Weight loss', 'Headaches', 'Dizziness', 'Confusion', 'Seizures']","['Chemotherapy', 'Radiation therapy', 'Stem cell transplant', 'Targeted therapy', 'Biological therapy']"
31,lymphoma,"Lymphoma is a type of cancer that affects the lymphatic system, which is part of the body's immune system.","['Enlarged lymph nodes', 'Fever', 'Night sweats', 'Weight loss', 'Fatigue', 'Itching', 'Shortness of breath', 'Chest pain', 'Abdominal pain or swelling', 'Nausea', 'Vomiting', 'Loss of appetite', 'Headaches', 'Confusion', 'Seizures']","['Chemotherapy', 'Radiation therapy', 'Stem cell transplant', 'Targeted therapy', 'Biological therapy']"
32,macular degeneration,Macular degeneration is an eye disease that causes loss of vision in the center of the field of vision.,"['Blurred vision', 'Dark or empty areas in your central vision', 'Difficulty reading or recognizing faces', 'Distorted vision', 'Straight lines appearing wavy', 'Reduced central vision', 'Need for brighter light when reading or doing close work', 'Increased difficulty adapting to low light levels', 'Decreased intensity or brightness of colors']","['Anti-VEGF therapy', 'Photodynamic therapy', 'Laser therapy', 'Vitamin supplements', 'Low vision aids']"
